"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 7m 38s","12/15/2012 13:08","12/15/2012 13:16","McPherson Square - 14th & H St NW","15th & P St NW","W01171","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 12m 17s","12/15/2012 13:08","12/15/2012 13:21","5th St & K St NW","L'Enfant Plaza / 7th & C St SW","W01170","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 5m 10s","12/15/2012 13:07","12/15/2012 13:13","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","Clarendon Blvd & Pierce St","W00094","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 24m 15s","12/15/2012 13:07","12/15/2012 13:32","Convention Center / 7th & M St NW","Lincoln Memorial","W00543","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 24m 25s","12/15/2012 13:07","12/15/2012 13:32","Convention Center / 7th & M St NW","Lincoln Memorial","W01146","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"1h 14m 33s","12/15/2012 13:08","12/15/2012 14:23","20th St & Florida Ave NW","3000 Connecticut Ave NW / National Zoo","W01377","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 5m 23s","12/15/2012 13:07","12/15/2012 13:13","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","Clarendon Blvd & Pierce St","W01392","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 8m 11s","12/15/2012 13:07","12/15/2012 13:15","22nd & I St NW / Foggy Bottom","12th & L St NW","W01154","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 7m 55s","12/15/2012 13:07","12/15/2012 13:15","8th & H St NW","Florida Ave & R St NW","W00654","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 2m 45s","12/15/2012 13:07","12/15/2012 13:10","24th & N St NW","M St & Pennsylvania Ave NW","W00496","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 8m 59s","12/15/2012 13:07","12/15/2012 13:16","N Veitch & Key Blvd","Wilson Blvd & N Oakland St","W20020","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"3h 7m 29s","12/15/2012 13:07","12/15/2012 16:15","14th & G St NW","14th & G St NW","W20961","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 11m 23s","12/15/2012 13:06","12/15/2012 13:18","1st & Rhode Island Ave NW","17th & Rhode Island Ave NW","W00154","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 6m 51s","12/15/2012 13:06","12/15/2012 13:13","15th & K St NW","Convention Center / 7th & M St NW","W01018","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 7s","12/15/2012 13:07","12/15/2012 13:21","5th St & K St NW","L'Enfant Plaza / 7th & C St SW","W00871","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 5s","12/15/2012 13:07","12/15/2012 13:21","5th St & K St NW","L'Enfant Plaza / 7th & C St SW","W00721","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 24m 47s","12/15/2012 13:06","12/15/2012 13:31","Lincoln Memorial","Smithsonian / Jefferson Dr & 12th St SW","W01358","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 15m 17s","12/15/2012 13:05","12/15/2012 13:20","5th St & K St NW","L'Enfant Plaza / 7th & C St SW","W00157","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 9m 17s","12/15/2012 13:05","12/15/2012 13:14","18th & M St NW","Adams Mill & Columbia Rd NW","W00330","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 7m 27s","12/15/2012 13:05","12/15/2012 13:12","1st & M St NE","Florida Ave & R St NW","W00546","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 3m 57s","12/15/2012 13:05","12/15/2012 13:09","20th St & Florida Ave NW","California St & Florida Ave NW","W00464","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 4m 12s","12/15/2012 13:05","12/15/2012 13:09","20th St & Florida Ave NW","California St & Florida Ave NW","W00936","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 27m 56s","12/15/2012 13:05","12/15/2012 13:33","Lincoln Memorial","Smithsonian / Jefferson Dr & 12th St SW","W01121","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 7m 49s","12/15/2012 13:04","12/15/2012 13:12","Columbia Rd & Georgia Ave NW","Park Rd & Holmead Pl NW","W20185","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 2s","12/15/2012 13:04","12/15/2012 13:18","3rd & H St NE","15th St & Massachusetts Ave SE","W20018","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 12m 35s","12/15/2012 13:04","12/15/2012 13:17","17th & Corcoran St NW","Metro Center / 12th & G St NW","W01368","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 0m 24s","12/15/2012 13:04","12/15/2012 13:05","5th St & K St NW","5th St & K St NW","W00203","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 33m 42s","12/15/2012 13:06","12/15/2012 13:40","5th & F St NW","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01158","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 8m 30s","12/15/2012 13:04","12/15/2012 13:12","Columbia Rd & Georgia Ave NW","Park Rd & Holmead Pl NW","W00443","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 17m 0s","12/15/2012 13:04","12/15/2012 13:21","Idaho Ave & Newark St NW [on 2nd District patio]","California St & Florida Ave NW","W00816","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 5m 30s","12/15/2012 13:08","12/15/2012 13:14","Gallaudet / 8th St & Florida Ave NE","1st & M St NE","W00685","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 28m 6s","12/15/2012 13:04","12/15/2012 13:32","3rd & H St NE","8th & Eye St SE / Barracks Row","W00394","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 7m 17s","12/15/2012 13:03","12/15/2012 13:11","16th & Harvard St NW","20th St & Florida Ave NW","W00458","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 17s","12/15/2012 13:03","12/15/2012 13:18","Columbia Rd & Georgia Ave NW","8th & H St NW","W00559","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 3m 24s","12/15/2012 13:03","12/15/2012 13:06","12th & Army Navy Dr","Crystal City Metro / 18th & Bell St","W00031","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 1m 36s","12/15/2012 13:02","12/15/2012 13:04","25th St & Pennsylvania Ave NW","M St & Pennsylvania Ave NW","W20003","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 4m 52s","12/15/2012 13:02","12/15/2012 13:07","16th & Harvard St NW","California St & Florida Ave NW","W00921","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 2m 51s","12/15/2012 13:02","12/15/2012 13:05","3rd & G St SE","M St & New Jersey Ave SE","W01169","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 28m 37s","12/15/2012 13:03","12/15/2012 13:31","14th & V St NW","D St & Maryland Ave NE","W00248","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 17m 59s","12/15/2012 13:02","12/15/2012 13:20","Columbus Circle / Union Station","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20157","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 34m 12s","12/15/2012 13:04","12/15/2012 13:38","5th & F St NW","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00769","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 7m 22s","12/15/2012 13:01","12/15/2012 13:09","4th & M St SW","M St & New Jersey Ave SE","W20956","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 35m 18s","12/15/2012 13:03","12/15/2012 13:38","5th & F St NW","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W01456","Casual",2012-12-15 13:00:00,1,"2012-12"
"0h 9m 46s","12/15/2012 13:01","12/15/2012 13:11","20th & O St NW / Dupont South","C & O Canal & Wisconsin Ave NW","W00192","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 13m 28s","12/15/2012 13:01","12/15/2012 13:15","New Hampshire Ave & T St NW [formerly 16th & U St NW]","Georgetown Harbor / 30th St NW","W00788","Subscriber",2012-12-15 13:00:00,1,"2012-12"
"0h 14m 9s","12/15/2012 13:01","12/15/2012 13:15","Key Blvd & N Quinn St","N Quincy St & Glebe Rd","W20124","Subscriber",2012-12-15 13:00:00,1,"2012-12"
