"station","hour","output","input","net","lon","lat","type","loctype","address","north","south","east","west","postal_code","country","administrative_area_level_2","administrative_area_level_1","locality","street","streetNo","point_of_interest","query"
"10th & E St NW","14",2,1,-1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","16",1,0,-1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","15",3,1,-2,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","09",1,3,2,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","00",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","22",0,1,1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","01",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","13",2,6,4,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","12",3,2,-1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","11",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","19",5,6,1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","07",0,3,3,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","02",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","10",0,1,1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","20",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","08",2,7,5,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
