"datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","yearMonth"
"2012-11-01 00:00:00",4,0,1,1,14.76,18.18,57,6.0032,60,"2012-11"
"2012-11-01 01:00:00",4,0,1,1,12.3,15.91,75,7.0015,30,"2012-11"
"2012-11-01 02:00:00",4,0,1,1,13.12,16.665,66,8.9981,20,"2012-11"
"2012-11-01 03:00:00",4,0,1,1,13.94,16.665,61,8.9981,15,"2012-11"
"2012-11-01 04:00:00",4,0,1,2,13.94,17.425,66,7.0015,10,"2012-11"
"2012-11-01 05:00:00",4,0,1,1,13.94,16.665,66,8.9981,40,"2012-11"
"2012-11-01 06:00:00",4,0,1,1,13.94,16.665,61,11.0014,148,"2012-11"
"2012-11-01 07:00:00",4,0,1,2,14.76,17.425,57,11.0014,420,"2012-11"
"2012-11-01 08:00:00",4,0,1,2,14.76,18.94,56,7.0015,680,"2012-11"
"2012-11-01 09:00:00",4,0,1,3,14.76,18.18,57,7.0015,331,"2012-11"
"2012-11-01 10:00:00",4,0,1,3,14.76,17.425,62,12.998,146,"2012-11"
"2012-11-01 11:00:00",4,0,1,3,14.76,17.425,62,12.998,170,"2012-11"
"2012-11-01 12:00:00",4,0,1,3,15.58,19.695,62,11.0014,221,"2012-11"
"2012-11-01 13:00:00",4,0,1,2,16.4,20.455,58,11.0014,248,"2012-11"
"2012-11-01 14:00:00",4,0,1,2,16.4,20.455,50,15.0013,185,"2012-11"
"2012-11-01 15:00:00",4,0,1,2,16.4,20.455,54,11.0014,214,"2012-11"
"2012-11-01 16:00:00",4,0,1,2,16.4,20.455,54,11.0014,344,"2012-11"
"2012-11-01 17:00:00",4,0,1,3,16.4,20.455,50,15.0013,689,"2012-11"
"2012-11-01 18:00:00",4,0,1,2,16.4,20.455,50,11.0014,678,"2012-11"
"2012-11-01 19:00:00",4,0,1,2,16.4,20.455,50,11.0014,452,"2012-11"
"2012-11-01 20:00:00",4,0,1,2,15.58,19.695,54,16.9979,296,"2012-11"
"2012-11-01 21:00:00",4,0,1,2,15.58,19.695,54,8.9981,267,"2012-11"
"2012-11-01 22:00:00",4,0,1,1,14.76,17.425,57,11.0014,202,"2012-11"
"2012-11-01 23:00:00",4,0,1,1,13.94,16.665,57,11.0014,120,"2012-11"
"2012-11-02 00:00:00",4,0,1,1,13.94,16.665,57,11.0014,50,"2012-11"
"2012-11-02 01:00:00",4,0,1,1,13.12,15.91,66,11.0014,24,"2012-11"
"2012-11-02 02:00:00",4,0,1,1,13.12,15.91,66,11.0014,10,"2012-11"
"2012-11-02 03:00:00",4,0,1,1,12.3,15.15,70,11.0014,3,"2012-11"
"2012-11-02 04:00:00",4,0,1,1,12.3,15.91,70,7.0015,7,"2012-11"
"2012-11-02 05:00:00",4,0,1,2,13.12,15.91,66,11.0014,26,"2012-11"
"2012-11-02 06:00:00",4,0,1,1,12.3,15.15,70,11.0014,122,"2012-11"
"2012-11-02 07:00:00",4,0,1,2,12.3,15.15,70,8.9981,357,"2012-11"
"2012-11-02 08:00:00",4,0,1,1,13.12,16.665,57,7.0015,687,"2012-11"
"2012-11-02 09:00:00",4,0,1,1,13.94,17.425,53,7.0015,382,"2012-11"
"2012-11-02 10:00:00",4,0,1,1,15.58,19.695,46,19.9995,204,"2012-11"
"2012-11-02 11:00:00",4,0,1,1,17.22,21.21,41,27.9993,221,"2012-11"
"2012-11-02 12:00:00",4,0,1,1,17.22,21.21,41,23.9994,292,"2012-11"
"2012-11-02 13:00:00",4,0,1,1,16.4,20.455,43,23.9994,294,"2012-11"
"2012-11-02 14:00:00",4,0,1,2,16.4,20.455,40,32.9975,262,"2012-11"
"2012-11-02 15:00:00",4,0,1,2,16.4,20.455,40,27.9993,306,"2012-11"
"2012-11-02 16:00:00",4,0,1,1,15.58,19.695,40,22.0028,421,"2012-11"
"2012-11-02 17:00:00",4,0,1,1,15.58,19.695,40,22.0028,638,"2012-11"
"2012-11-02 18:00:00",4,0,1,2,15.58,19.695,43,22.0028,522,"2012-11"
"2012-11-02 19:00:00",4,0,1,2,15.58,19.695,43,19.9995,374,"2012-11"
"2012-11-02 20:00:00",4,0,1,2,14.76,16.665,46,27.9993,221,"2012-11"
"2012-11-02 21:00:00",4,0,1,2,14.76,16.665,46,23.9994,156,"2012-11"
"2012-11-02 22:00:00",4,0,1,1,14.76,16.665,46,16.9979,149,"2012-11"
"2012-11-02 23:00:00",4,0,1,1,13.94,15.15,53,19.9995,119,"2012-11"
"2012-11-03 00:00:00",4,0,0,1,13.94,16.665,53,11.0014,108,"2012-11"
"2012-11-03 01:00:00",4,0,0,2,13.94,15.15,49,22.0028,89,"2012-11"
"2012-11-03 02:00:00",4,0,0,2,13.94,15.91,49,16.9979,46,"2012-11"
"2012-11-03 03:00:00",4,0,0,2,13.94,15.91,49,16.9979,28,"2012-11"
"2012-11-03 04:00:00",4,0,0,2,13.12,15.15,49,19.9995,16,"2012-11"
"2012-11-03 05:00:00",4,0,0,2,13.12,15.15,49,16.9979,9,"2012-11"
"2012-11-03 06:00:00",4,0,0,2,13.12,15.91,49,12.998,21,"2012-11"
"2012-11-03 07:00:00",4,0,0,2,13.12,15.15,49,16.9979,59,"2012-11"
"2012-11-03 08:00:00",4,0,0,2,13.94,15.15,46,19.9995,142,"2012-11"
"2012-11-03 09:00:00",4,0,0,2,13.94,15.15,49,19.9995,219,"2012-11"
"2012-11-03 10:00:00",4,0,0,1,14.76,16.665,46,26.0027,328,"2012-11"
"2012-11-03 11:00:00",4,0,0,2,14.76,16.665,46,26.0027,340,"2012-11"
"2012-11-03 12:00:00",4,0,0,2,14.76,15.91,46,31.0009,394,"2012-11"
"2012-11-03 13:00:00",4,0,0,2,14.76,16.665,46,23.9994,449,"2012-11"
"2012-11-03 14:00:00",4,0,0,2,14.76,16.665,50,22.0028,455,"2012-11"
"2012-11-03 15:00:00",4,0,0,2,14.76,15.91,46,30.0026,448,"2012-11"
"2012-11-03 16:00:00",4,0,0,2,14.76,16.665,46,22.0028,400,"2012-11"
"2012-11-03 17:00:00",4,0,0,2,14.76,16.665,46,19.9995,410,"2012-11"
"2012-11-03 18:00:00",4,0,0,2,14.76,16.665,46,19.0012,297,"2012-11"
"2012-11-03 19:00:00",4,0,0,1,14.76,17.425,50,11.0014,239,"2012-11"
"2012-11-03 20:00:00",4,0,0,1,13.94,16.665,53,8.9981,181,"2012-11"
"2012-11-03 21:00:00",4,0,0,1,13.94,17.425,53,7.0015,166,"2012-11"
"2012-11-03 22:00:00",4,0,0,1,13.12,16.665,57,7.0015,146,"2012-11"
"2012-11-03 23:00:00",4,0,0,1,13.12,16.665,57,7.0015,148,"2012-11"
"2012-11-04 00:00:00",4,0,0,1,12.3,15.91,61,7.0015,102,"2012-11"
"2012-11-04 01:00:00",4,0,0,1,10.66,14.395,81,6.0032,165,"2012-11"
"2012-11-04 02:00:00",4,0,0,1,12.3,16.665,65,0,37,"2012-11"
